title,company,location,salary,contract_type,source
Senior NLP/LLM Data Scientist,ING Nederland,"CDR (Amsterdam - Cedar), Netherlands","EUR 88K - 164K *
EUR 88K+ *",Full Time,AI-jobs.net
Senior NLP/LLM Data Scientist,ING Nederland,"CDR (Amsterdam - Cedar), Netherlands","EUR 88K - 164K *
EUR 88K+ *",Full Time,AI-jobs.net
Data Scientist (f/m),Airbus,"Marignane, France","EUR 73K - 137K *
EUR 73K+ *",Full Time,AI-jobs.net
Associate Data Scientist,UNHCR,"Kyiv, Ukraine","EUR 62K - 115K *
EUR 62K+ *",Full Time,AI-jobs.net
Ingénieur(e) Data Scientist confirmé(e) - Industrie - Toulouse,Sopra Steria,"Toulouse, Occitanie, France","EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
Data Scientist - Research Development and Innovation,Damen,"Gorinchem, Avelingen West 20, Netherlands","EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
Senior Data Scientist (AdTech),Sigma Software,"Warsaw, Masovian Voivodeship, Poland","EUR 87K - 163K *
EUR 87K+ *",Full Time,AI-jobs.net
Data Scientist,Verisure,"ES - Central Victoria - Pozuelo Headquarters, …","EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
Data Scientist,Eutelsat Group,"London, GB, W2 6BD","GBP 61K - 114K *
GBP 61K+ *",Full Time,AI-jobs.net
Data Scientist,Asahi Europe & International,"Warszawa, PL","EUR 58K - 108K *
EUR 58K+ *",Full Time,AI-jobs.net
Senior Developer / DataScientist für KI-Optimierungen und Data Science mit Schwerpunkt physikbasierte Modellierung,IANUS Simulation GmbH,Dortmund,"EUR 60K - 111K *
EUR 60K+ *",Full Time,AI-jobs.net
Data Scientist (m/w/d),adnomaly technologies GmbH,Düsseldorf,"EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
"Senior Scientist „Safe LLMs""",Fraunhofer-Gesellschaft,"München, DE, 80686","EUR 41K - 95K *
EUR 41K+ *",Full Time,AI-jobs.net
Research Scientist for Deep Learning and Robotic Foundation Models,Intrinsic,"Zurich, Switzerland","CHF 130K - 241K *
CHF 130K+ *",Full Time,AI-jobs.net
Stage Data Scientist (E/H/X),Alstom,"Saint-Ouen, FR","EUR 58K - 108K *
EUR 58K+ *",Full Time,AI-jobs.net
TTech Data Scientist,Telefónica,"MADRID, ES","EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
Senior Data Scientist,Bigblue,Paris,"EUR 65K - 95K
EUR 65K+",Full Time,AI-jobs.net
Data Scientist and Process Mining Architect,Processand,Prague,"EUR 71K - 133K *
EUR 71K+ *",Full Time,AI-jobs.net
Working Student - Data Scientist and Process Mining Architect,Processand,München,"EUR 71K - 133K *
EUR 71K+ *",Part Time,AI-jobs.net
Data Scientist and Process Mining Architect,Processand,München,"EUR 71K - 133K *
EUR 71K+ *",Full Time,AI-jobs.net
Senior Data Scientist (d/f/m),Aignostics GmbH,Germany - Berlin,"EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
Consultant | Senior Consultant (W/M/D) Data Scientist in Credit Risk Management,Risk Research,Regensburg oder Frankfurt,"EUR 68K - 127K *
EUR 68K+ *",Full Time,AI-jobs.net
Data Scientist Intern,Equativ,Paris,N/A,Internship,AI-jobs.net
Data Scientist,Circana,"Metamorfosi, Attica, Greece","EUR 73K - 136K *
EUR 73K+ *",Full Time,AI-jobs.net
Senior Data Scientist (Fraud),marshmallow,London,"GBP 74K - 137K *
GBP 74K+ *",Full Time,AI-jobs.net
"Data Scientist, Senior",Booz Allen Hamilton,"GBR, Cambridgeshire (RAF Molesworth Huntingdon Cambridgeshire), United …","USD 99K - 225K
USD 99K+",Full Time,AI-jobs.net
Senior Data Scientist,AE,Heverlee - Berchem - Gent - Hasselt …,"EUR 87K - 163K *
EUR 87K+ *",Full Time,AI-jobs.net
Data Scientist H/F - Nantes,AVISIA,"Nantes, Pays de la Loire, France","EUR 87K - 163K *
EUR 87K+ *",Full Time,AI-jobs.net
Data Scientist H/F - Lille,AVISIA,"Lille, Hauts-de-France, France","EUR 87K - 163K *
EUR 87K+ *",Full Time,AI-jobs.net
Senior AI Data Scientist,Qualifyze,"Barcelona, Catalunya [Cataluña], Spain","EUR 29K - 55K *
EUR 29K+ *",Full Time,AI-jobs.net
Data Scientist (REMOTE IN SPAIN),Auctane  Remote-first,"Barcelona, ES; Madrid, ES; Mallorca, ES; Sevilla, …","EUR 38K - 48K
EUR 38K+",Full Time,AI-jobs.net
Sr. Principal Construction Research Scientist,Autodesk  Remote-first,EMEA - United Kingdom - Birmingham,"GBP 28K - 53K *
GBP 28K+ *",Full Time,AI-jobs.net
Senior Applied Scientist (GenAI & Computer Vision) - Size & Fit (All Genders),Zalando,"Berlin, Germany","EUR 116K - 216K *
EUR 116K+ *",Full Time,AI-jobs.net
Senior Principal Applied Scientist (All Genders),Zalando,"Berlin, Germany","EUR 116K - 216K *
EUR 116K+ *",Full Time,AI-jobs.net
Senior Data Scientist (f/m/x),ZEISS Group,"München, Germany","EUR 87K - 163K *
EUR 87K+ *",Full Time,AI-jobs.net
"Lead Principal Data Scientist, R&D (f/m/d)",Lonza,"CH - Basel, Switzerland","CHF 129K - 240K *
CHF 129K+ *",Full Time,AI-jobs.net
