title,company,location,created,category,salary_min,salary_max,contract_type,description,source
Data Science Researcher – MLLMs,Dataworks,"Paris, Ile-de-France",2025-05-14T09:00:07Z,Unknown,,,,"Data Science Researcher – MLLMs  France (Remote or Hybrid in Paris)  Competitive Salary TECH STACK : Python, Deep Learning Frameworks (PyTorch, TensorFlow), LLMs, MLLMs, AWS, SQL A fast-growing AI startup (Series B) in the retail industry is expanding its research capabilities and looking for an experienced Data Science Researcher to push the boundaries of Multimodal Large Language Models (MLLMs) and model reasoning . If you are passionate about LLMs for images (and videos as a plus) and want t…",Adzuna API
Lead Data Science & IA Générative,TNP Consultants,"Neuilly-sur-Seine, Nanterre",2025-05-02T09:10:41Z,Unknown,,,,"Lead Data Science & IA Générative (H/F) Créé en 2007, TNP Consultants est un cabinet de conseil européen spécialisé dans les transformations stratégiques, opérationnelles, digitales et réglementaires des entreprises. TNP intervient sur les dimensions de stratégie opérationnelle, systèmes d’information, métier et capital humain, dans les secteurs de la banque, de l’assurance, du transport, de l’énergie et de l’automobile et du secteur public. TNP a fait de l’accélération de la performance de ses…",Adzuna API
Tech Lead Data Science H/F,Safran,"Talence, Bordeaux",2025-05-28T07:40:48Z,Emplois Fabrication,,,,"Embarquement immédiat pour un voyage aux confins du digital ! La Direction du Système d'Information (DSI) de Safran Aircraft Engines est au coeur d'une transformation ambitieuse. Notre mission est d'accompagner notre croissance industrielle soutenue et les défis sociétaux de notre temps. La Digital Factory, véritable moteur de cette transformation digitale, a pour objectif de créer et de délivrer des produits et services innovants en exploitant des technologies de pointe. Dans le cadre de notre…",Adzuna API
Alternant Data Science H/F,"Merck KGaA, Darmstadt, Germany","Duttlenheim, Bas-Rhin",2025-06-02T07:43:37Z,Emplois Fabrication,486.0,1802.0,,"Exprimez votre talent avec nous ! Vous voulez explorer, franchir des obstacles, faire des découvertes ?Nous savons que vos projets sont ambitieux. Les nôtres aussi ! Dans le monde entier, nos collègues ont la passion de l'innovation scientifique et technologique qui enrichit les vies humaines grâce à nos solutions dans les domaines Healthcare, Life Science et Electronics.Ensemble, nous voyons grand et avons à coeur de prendre soin de notre large diversité de collaborateurs, clients, patients et…",Adzuna API
Alternance en Data Science,beBee Careers,"La Courneuve, Saint-Denis",2025-06-01T11:15:08Z,Unknown,,,,"Nous recherchons un alternant passionné pour rejoindre notre équipe en data analyser ! Contexte : Ironhack, une entreprise leader en formations en data science, recherche un stagiaire en data analyser pour rejoindre son équipe. Ce poste offre la possibilité de travailler sur des projets excitants et de développer ses compétences en data analysis. Compétences requises : * Analyse de données * Résolution de problèmes complexes * Travail en équipe Tâches quotidiennes : * Analyser les données pour …",Adzuna API
Formations en data science,beBee Careers,"Le Kremlin-Bicêtre, L'Haÿ-les-Roses",2025-06-01T10:06:48Z,Unknown,,,,"Découvrez notre parcours en Data Science Nous sommes à la recherche de personnes passionnées par l'analyse de données et souhaitant faire partie d'une communauté diversifiée, conviviale et dynamique. Dans ce cadre d'alternance, vous passerez 10 semaines en formation intensif en anglais et obtiendrez un titre professionnel reconnu par l'État. Après cela, vous engagerez 13 mois en entreprise pour mettre en pratique vos compétences. Ce choix peut être réalisé sans frais via notre site officiel. Vo…",Adzuna API
Apprentissage en data science,beBee Careers,"Pantin, Bobigny",2025-06-01T10:06:24Z,Unknown,,,,"Professionnalisation en Data Analyse Nous offrons une formation reconnue par l'État, accessible à tous les jeunes de moins de 29 ans et aux demandeurs d'emploi. Nous recherchons des alternants pour accompagner leur évolution professionnelle dans un environnement stimulant.",Adzuna API
Business Manager Data Sciences (H/F) - Lyon,EFOR,"Champagne-au-Mont-d'Or, Lyon",2025-05-05T05:26:40Z,Unknown,,,,"Intégrez notre groupe en pleine effervescence et propulsez votre carrière !  Facts & Figures Efor : Création en 2013, 12 pays, 3 continents, leader européen du conseil en Life Sciences, 3000 collaborateurs, plus de 215 millions d'euros de CA, volonté de devenir leader mondial d'ici 2028. Nous vous proposons un poste à responsabilité alliant développement commercial, intrapreneuriat et management d'ingénieurs consultants dans le secteur des Data Sciences. Business : Prospecter de nouveaux client…",Adzuna API
Alternance professionnelle en data science,beBee Careers,"Pantin, Bobigny",2025-06-01T14:10:22Z,Unknown,,,,"Fonction d'alternant en Data Analyse Si vous êtes passionné(e) par les données et souhaitez acquérir de nouvelles compétences, nous sommes là pour vous aider ! Nous offrons une formation complète en alternance, comprenant la théorie et la pratique. Vous aurez l'occasion de travailler sur des projets concrets, en utilisant des outils et des techniques innovantes. Notre objectif est de vous former pour être autonome et capable de prendre des décisions éclairées. Le processus de recrutement compre…",Adzuna API
Apprenti Data Science - Data Architect H/F,Safran,"Châtellerault-Nord, Châtellerault",2025-05-17T05:46:01Z,Emplois Fabrication,486.0,1802.0,,"Cet apprentissage est proposé au sein de l'équipe DATA composée d'un DATA Steward et de DATA ANALYST, du département Progrès et Transformation Digitale de la Direction Réparations. Vous serez sous la responsabilité du DATA Steward. Vous travaillerez en étroite collaboration avec le DATA Steward, les DATA Analyst, ainsi que les différents métiers opérationnels de l'entreprise et des fonctions transverses. Les missions proposées pour cet apprentissage seront principalement orientées sur le dévelo…",Adzuna API
